Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:02:32,5.152,0.0571,0.0125,0.0024,94.33,94.33
0日00:02:33,5.152,0.0599,0.0126,0.0024,94.97,94.97
0日00:02:34,5.152,0.0564,0.0127,0.0025,95.58,95.58
0日00:02:35,5.152,0.0599,0.0128,0.0025,96.23,96.23
0日00:02:36,5.152,0.0567,0.0129,0.0025,96.84,96.84
0日00:02:37,5.152,0.0598,0.0129,0.0025,97.48,97.48
0日00:02:38,5.152,0.0598,0.013,0.0025,98.13,98.13
0日00:02:39,5.152,0.0575,0.0131,0.0025,98.75,98.75
0日00:02:40,5.152,0.0564,0.0132,0.0026,99.36,99.36
0日00:02:41,5.152,0.0598,0.0133,0.0026,100,100
0日00:02:42,5.152,0.0562,0.0134,0.0026,100.61,100.61
