Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,,
0日00:01:55,5.181,0.0535,0.0103,0.002,34.78,34.77,,,
0日00:01:56,5.181,0.0534,0.0104,0.002,35.04,35.03,,,
0日00:01:57,5.181,0.0535,0.0104,0.002,35.3,35.29,,,
0日00:01:58,5.176,0.0667,0.0105,0.002,35.63,35.62,,,
0日00:01:59,5.175,0.0905,0.0107,0.0021,36.07,36.06,,,
0日00:02:00,5.174,0.0663,0.0108,0.0021,36.39,36.38,,,
0日00:02:01,5.18,0.0535,0.0108,0.0021,36.65,36.64,,,
0日00:02:02,5.18,0.0533,0.0109,0.0021,36.91,36.9,,,
0日00:02:03,5.18,0.0535,0.011,0.0021,37.17,37.16,,,
0日00:02:04,5.18,0.0535,0.0111,0.0021,37.43,37.42,,,
0日00:02:05,5.18,0.0534,0.0111,0.0022,37.69,37.68,,,
0日00:02:06,5.18,0.0556,0.0112,0.0022,37.96,37.95,,,
0日00:02:07,5.161,0.0661,0.0113,0.0022,38.28,38.27,,,
0日00:02:08,5.171,0.0875,0.0114,0.0022,38.71,38.7,,,
0日00:02:09,5.174,0.066,0.0115,0.0022,39.03,39.02,,,
0日00:02:10,5.18,0.0534,0.0116,0.0022,39.29,39.28,,,
0日00:02:11,5.18,0.0531,0.0117,0.0023,39.55,39.54,,,
0日00:02:12,5.18,0.0535,0.0118,0.0023,39.81,39.8,,,
0日00:02:13,5.18,0.0534,0.0118,0.0023,40.07,40.06,,,
0日00:02:14,5.18,0.0534,0.0119,0.0023,40.33,40.32,,,
0日00:02:15,5.178,0.0638,0.012,0.0023,40.64,40.63,,,
0日00:02:16,5.164,0.0738,0.0121,0.0023,41,40.99,,,
0日00:02:17,5.174,0.0764,0.0122,0.0024,41.37,41.36,,,
0日00:02:18,5.176,0.0595,0.0123,0.0024,41.66,41.65,,,
0日00:02:19,5.18,0.0533,0.0124,0.0024,41.92,41.91,,,
0日00:02:20,5.18,0.0534,0.0125,0.0024,42.18,42.17,,,
0日00:02:21,5.18,0.0534,0.0125,0.0024,42.44,42.43,,,
0日00:02:22,5.18,0.0533,0.0126,0.0024,42.7,42.69,,,
0日00:02:23,5.18,0.0534,0.0127,0.0025,42.96,42.95,,,
0日00:02:24,5.171,0.0666,0.0128,0.0025,43.28,43.27,,,
0日00:02:25,5.172,0.0905,0.0129,0.0025,43.72,43.71,,,
0日00:02:26,5.173,0.0659,0.013,0.0025,44.04,44.03,,,
0日00:02:27,5.18,0.0534,0.0131,0.0025,44.3,44.29,,,
0日00:02:28,5.18,0.0533,0.0132,0.0025,44.56,44.55,,,
0日00:02:29,5.18,0.0533,0.0132,0.0026,44.82,44.81,,,
0日00:02:30,5.18,0.0534,0.0133,0.0026,45.08,45.07,,,
0日00:02:31,5.18,0.0534,0.0134,0.0026,45.34,45.33,,,
0日00:02:32,5.18,0.0556,0.0135,0.0026,45.61,45.6,,,
0日00:02:33,5.176,0.0661,0.0136,0.0026,45.93,45.92,,,
0日00:02:34,5.173,0.0865,0.0137,0.0026,46.35,46.34,,,
0日00:02:35,5.173,0.0659,0.0138,0.0027,46.67,46.66,,,
0日00:02:36,5.18,0.0535,0.0139,0.0027,46.93,46.92,,,
0日00:02:37,5.18,0.0533,0.0139,0.0027,47.19,47.18,,,
0日00:02:38,5.18,0.0533,0.014,0.0027,47.45,47.44,,,
0日00:02:39,5.18,0.0534,0.0141,0.0027,47.71,47.7,,,
0日00:02:40,5.18,0.0534,0.0142,0.0027,47.97,47.96,,,
0日00:02:41,5.177,0.0646,0.0143,0.0028,48.29,48.27,,,
0日00:02:42,5.163,0.0748,0.0144,0.0028,48.65,48.64,,,
0日00:02:43,5.173,0.0774,0.0145,0.0028,49.03,49.02,,,
0日00:02:44,5.176,0.0656,0.0146,0.0028,49.35,49.33,,,
0日00:02:45,5.18,0.0533,0.0147,0.0028,49.61,49.59,,,
0日00:02:46,5.18,0.0533,0.0147,0.0028,49.86,49.85,,,
0日00:02:47,5.18,0.0534,0.0148,0.0029,50.12,50.11,,,
0日00:02:48,5.18,0.0534,0.0149,0.0029,50.38,50.37,,,
0日00:02:49,5.18,0.0534,0.015,0.0029,50.64,50.63,,,
0日00:02:50,5.162,0.118,0.0151,0.0029,51.22,51.21,,,
0日00:02:51,5.167,0.0905,0.0153,0.0029,51.66,51.65,,,
0日00:02:52,5.174,0.0774,0.0154,0.003,52.03,52.02,,,
0日00:02:53,5.176,0.0591,0.0155,0.003,52.32,52.31,,,
0日00:02:54,5.179,0.0533,0.0155,0.003,52.58,52.57,,,
0日00:02:55,5.18,0.0533,0.0156,0.003,52.84,52.83,,,
0日00:02:56,5.179,0.0533,0.0157,0.003,53.1,53.09,,,
0日00:02:57,5.179,0.0534,0.0158,0.003,53.36,53.35,,,
0日00:02:58,5.179,0.0557,0.0158,0.0031,53.63,53.62,,,
0日00:02:59,5.163,0.0658,0.0159,0.0031,53.95,53.94,,,
0日00:03:00,5.17,0.0857,0.0161,0.0031,54.37,54.36,,,
0日00:03:01,5.176,0.0658,0.0162,0.0031,54.69,54.68,,,
0日00:03:02,5.179,0.0534,0.0162,0.0031,54.95,54.94,,,
0日00:03:03,5.179,0.0533,0.0163,0.0032,55.21,55.2,,,
0日00:03:04,5.179,0.0533,0.0164,0.0032,55.47,55.46,,,
0日00:03:05,5.179,0.0534,0.0165,0.0032,55.73,55.72,,,
0日00:03:06,5.179,0.0534,0.0165,0.0032,55.99,55.98,,,
0日00:03:07,5.179,0.0651,0.0166,0.0032,56.3,56.29,,,
0日00:03:08,5.175,0.0756,0.0167,0.0032,56.67,56.66,,,
0日00:03:09,5.172,0.0853,0.0169,0.0033,57.09,57.07,,,
0日00:03:10,5.174,0.0658,0.017,0.0033,57.41,57.39,,,
0日00:03:11,5.179,0.0533,0.017,0.0033,57.66,57.65,,,
0日00:03:12,5.179,0.0533,0.0171,0.0033,57.92,57.91,,,
0日00:03:13,5.179,0.0533,0.0172,0.0033,58.18,58.17,,,
0日00:03:14,5.179,0.0534,0.0173,0.0033,58.44,58.43,,,
0日00:03:15,5.179,0.0534,0.0173,0.0034,58.7,58.69,,,
0日00:03:16,5.17,0.1168,0.0175,0.0034,59.27,59.26,,,
0日00:03:17,5.171,0.0904,0.0176,0.0034,59.71,59.7,,,
0日00:03:18,5.171,0.0755,0.0178,0.0034,60.08,60.07,,,
0日00:03:19,5.178,0.0582,0.0178,0.0034,60.36,60.35,,,
0日00:03:20,5.179,0.0533,0.0179,0.0035,60.62,60.61,,,
0日00:03:21,5.179,0.0533,0.018,0.0035,60.88,60.87,,,
0日00:03:22,5.179,0.0534,0.0181,0.0035,61.14,61.13,,,
0日00:03:23,5.179,0.0535,0.0181,0.0035,61.4,61.39,,,
0日00:03:24,5.179,0.0534,0.0182,0.0035,61.66,61.65,,,
0日00:03:25,5.174,0.0666,0.0183,0.0035,61.98,61.97,,,
0日00:03:26,5.173,0.0903,0.0184,0.0036,62.42,62.41,,,
0日00:03:27,5.173,0.0662,0.0185,0.0036,62.75,62.73,,,
0日00:03:28,5.179,0.0533,0.0186,0.0036,63.01,62.99,,,
0日00:03:29,5.179,0.0532,0.0187,0.0036,63.26,63.25,,,
0日00:03:30,5.179,0.0533,0.0188,0.0036,63.52,63.51,,,
0日00:03:31,5.179,0.0533,0.0188,0.0036,63.78,63.77,,,
0日00:03:32,5.179,0.0534,0.0189,0.0037,64.04,64.03,,,
0日00:03:33,5.179,0.0558,0.019,0.0037,64.31,64.3,,,
0日00:03:34,5.17,0.0661,0.0191,0.0037,64.64,64.62,,,
0日00:03:35,5.17,0.0846,0.0192,0.0037,65.05,65.04,,,
0日00:03:36,5.173,0.0656,0.0193,0.0037,65.37,65.36,,,
0日00:03:37,5.179,0.0531,0.0194,0.0037,65.62,65.61,,,
0日00:03:38,5.179,0.0533,0.0195,0.0038,65.88,65.87,,,
0日00:03:39,5.179,0.0533,0.0195,0.0038,66.14,66.13,,,
0日00:03:40,5.179,0.0534,0.0196,0.0038,66.4,66.39,,,
0日00:03:41,5.179,0.0533,0.0197,0.0038,66.66,66.65,,,
0日00:03:42,5.174,0.1171,0.0199,0.0038,67.23,67.22,,,
0日00:03:43,5.173,0.0904,0.02,0.0039,67.67,67.66,,,
0日00:03:44,5.171,0.0744,0.0201,0.0039,68.03,68.02,,,
0日00:03:45,5.174,0.0656,0.0202,0.0039,68.35,68.34,,,
0日00:03:46,5.179,0.0531,0.0203,0.0039,68.61,68.6,,,
0日00:03:47,5.179,0.0533,0.0204,0.0039,68.87,68.86,,,
0日00:03:48,5.179,0.0534,0.0204,0.0039,69.13,69.12,,,
0日00:03:49,5.179,0.0534,0.0205,0.004,69.39,69.38,,,
0日00:03:50,5.178,0.0534,0.0206,0.004,69.65,69.64,,,
0日00:03:51,5.162,0.0666,0.0207,0.004,69.97,69.96,,,
0日00:03:52,5.166,0.0905,0.0208,0.004,70.41,70.4,,,
0日00:03:53,5.173,0.0738,0.0209,0.004,70.77,70.76,,,
0日00:03:54,5.177,0.0573,0.021,0.0041,71.05,71.04,,,
0日00:03:55,5.178,0.0531,0.0211,0.0041,71.31,71.3,,,
0日00:03:56,5.178,0.0534,0.0211,0.0041,71.57,71.56,,,
0日00:03:57,5.178,0.0534,0.0212,0.0041,71.83,71.82,,,
0日00:03:58,5.178,0.0534,0.0213,0.0041,72.09,72.08,,,
0日00:03:59,5.178,0.0558,0.0214,0.0041,72.36,72.35,,,
0日00:04:00,5.16,0.066,0.0215,0.0041,72.68,72.67,,,
0日00:04:01,5.17,0.0823,0.0216,0.0042,73.08,73.07,,,
0日00:04:02,5.175,0.0657,0.0217,0.0042,73.4,73.39,,,
0日00:04:03,5.178,0.0529,0.0218,0.0042,73.66,73.65,,,
0日00:04:04,5.178,0.0532,0.0218,0.0042,73.92,73.91,,,
0日00:04:05,5.178,0.0534,0.0219,0.0042,74.18,74.17,,,
0日00:04:06,5.178,0.0534,0.022,0.0042,74.44,74.43,,,
0日00:04:07,5.178,0.0534,0.0221,0.0043,74.7,74.69,,,
0日00:04:08,5.178,0.0662,0.0222,0.0043,75.02,75.01,,,
0日00:04:09,5.174,0.079,0.0223,0.0043,75.4,75.39,,,
0日00:04:10,5.171,0.0815,0.0224,0.0043,75.8,75.79,,,
0日00:04:11,5.173,0.0656,0.0225,0.0043,76.12,76.11,,,
0日00:04:12,5.178,0.0531,0.0226,0.0044,76.38,76.37,,,
0日00:04:13,5.178,0.0531,0.0226,0.0044,76.64,76.63,,,
0日00:04:14,5.178,0.0534,0.0227,0.0044,76.9,76.89,,,
0日00:04:15,5.178,0.0534,0.0228,0.0044,77.16,77.15,,,
0日00:04:16,5.178,0.0534,0.0229,0.0044,77.42,77.41,,,
0日00:04:17,5.169,0.0665,0.023,0.0044,77.74,77.73,,,
0日00:04:18,5.17,0.0905,0.0231,0.0045,78.18,78.17,,,
0日00:04:19,5.17,0.0725,0.0232,0.0045,78.53,78.52,,,
0日00:04:20,5.177,0.0567,0.0233,0.0045,78.81,78.8,,,
0日00:04:21,5.178,0.053,0.0234,0.0045,79.07,79.06,,,
0日00:04:22,5.178,0.0533,0.0234,0.0045,79.32,79.32,,,
0日00:04:23,5.178,0.0533,0.0235,0.0045,79.58,79.57,,,
0日00:04:24,5.178,0.0534,0.0236,0.0046,79.84,79.83,,,
0日00:04:25,5.178,0.0558,0.0237,0.0046,80.12,80.11,,,
